ENS,Nt,Ns,beta,as_bare mass,ps_N_source,ps_N_sink,ps_ti,ps_tf,v_N_source,v_N_sink,v_ti,v_tf
QB1,48,24,7.62,-0.8,100,0,8,24,100,0,8,24
QB1,48,24,7.62,-0.9,100,20,15,23,100,20,8,24
QB1,48,24,7.62,-0.95,100,0,14,23,100,0,10,24
QB1,48,24,7.62,-1.0,100,0,14,23,100,0,10,24
QB1,48,24,7.62,-1.05,100,0,10,23,100,0,15,24
QB1,48,24,7.62,-1.1,100,0,12,24,100,0,12,24
QB1,48,24,7.62,-1.15,100,0,10,24,100,0,7,18
QB1,48,24,7.62,-1.12,60,0,12,24,60,0,9,20
QB1,48,24,7.62,-1.14,60,0,12,24,60,0,9,20
QB2,60,48,7.7,-0.89,50,0,24,30,50,20,16,28
QB2,60,48,7.7,-0.91,50,0,17,29,50,0,14,25
QB2,60,48,7.7,-0.92,50,0,17,29,50,0,17,27
QB2,60,48,7.7,-0.93,50,0,23,29,50,0,16,25
QB2,60,48,7.7,-0.97,50,0,24,30,50,0,16,25
QB2,60,48,7.7,-1.01,50,0,24,30,50,0,16,25
QB2,60,48,7.7,-1.09,50,0,24,30,50,0,16,25
QB2,60,48,7.7,-1.1,50,0,23,30,50,0,15,23
QB2,60,48,7.7,-1.11,50,0,23,30,50,0,15,23
QB2,60,48,7.7,-1.12,50,0,18,29,50,0,12,21
QB3,60,48,7.85,-0.85,50,0,21,29,50,0,19,29
QB3,60,48,7.85,-0.87,50,0,21,29,50,0,19,29
QB3,60,48,7.85,-0.9,50,0,21,29,50,0,19,28
QB3,60,48,7.85,-0.93,50,0,21,29,50,0,19,29
QB3,60,48,7.85,-0.97,50,0,16,25,50,0,15,26
QB3,60,48,7.85,-0.99,50,0,16,25,50,0,15,26
QB3,60,48,7.85,-1.01,50,0,16,25,50,0,15,26
QB3,60,48,7.85,-1.03,50,0,15,25,50,0,14,26
QB3,60,48,7.85,-1.04,50,0,15,25,50,0,12,21
QB3,60,48,7.85,-1.05,50,0,15,25,50,0,12,21
QB3,60,48,7.85,-1.06,50,0,15,29,50,0,12,23
QB4,60,48,8.0,-0.81,50,0,18,30,50,0,19,30
QB4,60,48,8.0,-0.82,60,0,19,30,60,0,19,30
QB4,60,48,8.0,-0.84,60,0,18,30,60,0,19,30
QB4,60,48,8.0,-0.91,60,0,18,30,60,0,19,30
QB4,60,48,8.0,-0.93,60,0,18,30,60,0,19,30
QB4,60,48,8.0,-0.95,60,0,18,30,60,0,19,30
QB4,60,48,8.0,-0.99,50,0,17,30,50,0,16,30
QB4,60,48,8.0,-1.01,50,0,14,30,50,0,12,28
QB4,60,48,8.0,-1.015,50,20,11,30,50,40,11,25
QB5,60,48,8.2,-0.95,50,0,20,30,50,0,17,29
QB5,60,48,8.2,-0.956,50,0,18,30,50,0,17,29
QB5,60,48,8.2,-0.961,50,0,18,30,50,0,17,29
